Document,Path,Term,Definition
חישוב הכנסה ממוצעת לנפש לקביעת השתתפות עצמית - 1.22 060722,1.22/עדכונים חני תעס 1.22/,בגיר,מי שמלאו לו 18 שנה.
חישוב הכנסה ממוצעת לנפש לקביעת השתתפות עצמית - 1.22 060722,1.22/עדכונים חני תעס 1.22/,בגיר בודד (בהוראה זו),נחשב יחידה משפחתית בפני עצמו.
חישוב הכנסה ממוצעת לנפש לקביעת השתתפות עצמית - 1.22 060722,1.22/עדכונים חני תעס 1.22/,קטין,מי שטרם מלאו לו 18 שנה.
חישוב הכנסה ממוצעת לנפש לקביעת השתתפות עצמית - 1.22 060722,1.22/עדכונים חני תעס 1.22/,יחידה משפחתית,"משפחה הכוללת הורה/ים וילדיהם עד גיל 18, גם כאשר אלו מתחנכים במסגרת חוץ-ביתית, וכן את ילדיהם מעל גיל 18 המשרתים שירות חובה בצה""ל ובשירות לאומי-אזרחי (ע""פ אישור) או עד סיום כיתה י""ד."
חישוב הכנסה ממוצעת לנפש לקביעת השתתפות עצמית - 1.22 060722,1.22/עדכונים חני תעס 1.22/,הכנסה,הכנסה ברוטו כוללת מעבודה ושלא מעבודה של ההורה/ים שביחידה המשפחתית בהתאם להנחיות בהוראה זו.
חישוב הכנסה ממוצעת לנפש לקביעת השתתפות עצמית - 1.22 060722,1.22/עדכונים חני תעס 1.22/,הכנסה ממוצעת לנפש,סכום ההכנסה של 3 חודשים רצופים מתוך 6 החודשים האחרונים מחולק במספר הנפשות הנחשבות ביחידה המשפחתית (לפי הוראה זו) ומחולק ב- 3 חודשים.
חישוב הכנסה ממוצעת לנפש לקביעת השתתפות עצמית - 1.22 060722,1.22/עדכונים חני תעס 1.22/,"מחלקה לשירותים חברתיים (מש""ח)","המחלקות לשירותים חברתיים מהוות יחידות בתוך הרשויות המקומיות והן אחראיות על מתן השירותים החברתיים ללקוחות המתגוררים באותה רשות.המחלקות לשירותים חברתיים ברשויות המקומיות פועלות מכוחחוק שירותי הסעד התשי""ח-1958."
חישוב הכנסה ממוצעת לנפש לקביעת השתתפות עצמית - 1.22 060722,1.22/עדכונים חני תעס 1.22/,משרד,משרד הרווחה והביטחון החברתי. אוכלוסיית יעד כלל מקבלי השירות במחלקות לשירותים חברתיים. הכנסות חודשיות הנלקחות בחישוב הכנסה ממוצעת לנפש
שלומית בר טל,1.22/עדכונים חני תעס 1.22/התיחסויות לקראת עדכון/,יחידה משפחתית,"משפחה הכוללת את ההורים ואת ילדיהם עד גיל 18, גם כאשר אלו מתחנכים במסגרת חוץ-ביתית, וכן את ילדיהם מעל גיל 18 המשרתים שירות חובה בצה""ל, ובנות המשרתות בשירות הלאומי (עפ""י אישור) או עד סיום כיתה י""ב."
שלומית בר טל,1.22/עדכונים חני תעס 1.22/התיחסויות לקראת עדכון/,הערה,בגיר בודד הוא יחידה בפני עצמו.
שלומית בר טל,1.22/עדכונים חני תעס 1.22/התיחסויות לקראת עדכון/,קטין,מי שטרם מלאו לו 18 שנה.
שלומית בר טל,1.22/עדכונים חני תעס 1.22/התיחסויות לקראת עדכון/,בגיר,מי שמלאו לו 18 שנה.
שלומית בר טל,1.22/עדכונים חני תעס 1.22/התיחסויות לקראת עדכון/,זקן,"כהגדרתו בחוק גיל הפרישה תשנ""ד – 2004."
שלומית בר טל,1.22/עדכונים חני תעס 1.22/התיחסויות לקראת עדכון/,ראש משפחה,"ראש משק בית כמוגדר בהוראה 1.19 ""נתוני יסוד אודות משפחה מטופלת""."
שלומית בר טל,1.22/עדכונים חני תעס 1.22/התיחסויות לקראת עדכון/,הכנסה,"הכנסה ברוטו כוללת מעבודה ושלא מעבודה של ראש המשפחה ובן זוגו שביחידה המשפחתית. בהתאם לסעיפים 3,4."
שלומית בר טל,1.22/עדכונים חני תעס 1.22/התיחסויות לקראת עדכון/,נקודת זיכוי,"ערך תחשיבי אבסולוטי שנקבע מעת לעת ע""י משרד האוצר, מפורסם בנספח א' להוראה זו בחוברת התעריפים ומתעדכן מעת לעתעל ידי אגף בכיר רשויות מקומיות אחת לשנה (בחודש ינואר). אין נספח א'. העדכון מאגף רשו""מ בינואר של כל שנה."
שלומית בר טל,1.22/עדכונים חני תעס 1.22/התיחסויות לקראת עדכון/,הכנסה ברוטו ממוצעת לנפש לחודש,"סיכום ההכנסה של 3 החודשים האחרונים טרם קביעת הנזקקות ועריכת תכנית התערבות טיפולית, 			לפני מתן הסיוע, מחולק במספר הנפשות הנחשבות לפי סעיף 2.1 לעיל, ביחידה המשפחתית ומחולק ב- 3 חודשים. או לפי סעיף 5.1 מטה."
טיוטה מעודכנת התייחסות אריאלה,1.22/עדכונים חני תעס 1.22/התיחסויות לקראת עדכון/,יחידה משפחתית,"משפחה הכוללת את ההורים ואת ילדיהם עד גיל 18, גם כאשר אלו מתחנכים במסגרת חוץ-ביתית, וכן את ילדיהם מעל גיל 18 המשרתים שירות חובה בצה""ל, ובנות המשרתות בשירות הלאומי (עפ""י אישור) או עד סיום כיתה י""ב."
טיוטה מעודכנת התייחסות אריאלה,1.22/עדכונים חני תעס 1.22/התיחסויות לקראת עדכון/,הערה,בגיר בודד הוא יחידה בפני עצמו.
טיוטה מעודכנת התייחסות אריאלה,1.22/עדכונים חני תעס 1.22/התיחסויות לקראת עדכון/,קטין,מי שטרם מלאו לו 18 שנה.
טיוטה מעודכנת התייחסות אריאלה,1.22/עדכונים חני תעס 1.22/התיחסויות לקראת עדכון/,בגיר,מי שמלאו לו 18 שנה.
טיוטה מעודכנת התייחסות אריאלה,1.22/עדכונים חני תעס 1.22/התיחסויות לקראת עדכון/,אזרח ותיק,"כהגדרתו בחוק גיל הפרישה תשנ""ד – 2004."
טיוטה מעודכנת התייחסות אריאלה,1.22/עדכונים חני תעס 1.22/התיחסויות לקראת עדכון/,ראש משפחה,"ראש משק בית כמוגדר בהוראה 1.19 ""נתוני יסוד אודות משפחה מטופלת""."
טיוטה מעודכנת התייחסות אריאלה,1.22/עדכונים חני תעס 1.22/התיחסויות לקראת עדכון/,הכנסה,"הכנסה ברוטו כוללת מעבודה ושלא מעבודה של ראש המשפחה ובן זוגו שביחידה המשפחתית. בהתאם לסעיפים 3,4."
טיוטה מעודכנת התייחסות אריאלה,1.22/עדכונים חני תעס 1.22/התיחסויות לקראת עדכון/,נקודת זיכוי,"ערך תחשיבי אבסולוטי שנקבע מעת לעת ע""י משרד האוצר, מתעדכן על ידי אגף בכיר רשויות מקומיות אחת לשנה (בחודש ינואר)."
טיוטה מעודכנת התייחסות אריאלה,1.22/עדכונים חני תעס 1.22/התיחסויות לקראת עדכון/,הכנסה ברוטו ממוצעת לנפש לחודש,"סיכום ההכנסה של 3 חודשים מתוך 6 החודשים האחרונים טרם קביעת הנזקקות ועריכת תכנית התערבות טיפולית, מחולק במספר הנפשות הנחשבות לפי סעיף 2.1 לעיל, ביחידה המשפחתית ומחולק ב- 3 חודשים."
טיוטה מעודכנת עם התייחסות תמר,1.22/עדכונים חני תעס 1.22/התיחסויות לקראת עדכון/,יחידה משפחתית,"משפחה משק בית הכוללת את הורה/ההורים ואת ילדיהם עד גיל 18, גם כאשר אלו מתחנכים במסגרת חוץ-ביתית, וכן את ילדיהם מעל גיל 18 המשרתים שירות חובה בצה""ל, ובנות המשרתות בשירות הלאומי (עפ""י אישור) או עד סיום כיתה י""בליומודי תיכון, לעיתים עד גיל 21."
טיוטה מעודכנת עם התייחסות תמר,1.22/עדכונים חני תעס 1.22/התיחסויות לקראת עדכון/,הערה,בגיר בודד הוא יחידה בפני עצמו.
טיוטה מעודכנת עם התייחסות תמר,1.22/עדכונים חני תעס 1.22/התיחסויות לקראת עדכון/,קטין,מי שטרם מלאו לו 18 שנה.
טיוטה מעודכנת עם התייחסות תמר,1.22/עדכונים חני תעס 1.22/התיחסויות לקראת עדכון/,בגיר,מי שמלאו לו 18 שנה.
טיוטה מעודכנת עם התייחסות תמר,1.22/עדכונים חני תעס 1.22/התיחסויות לקראת עדכון/,אזרח ותיק,"כהגדרתו בחוק גיל הפרישה תשנ""ד - 2004."
טיוטה מעודכנת עם התייחסות תמר,1.22/עדכונים חני תעס 1.22/התיחסויות לקראת עדכון/,ראש משפחה,"ראש משק בית כמוגדר בהוראה 1.19 ""נתוני יסוד אודות משפחה מטופלת""."
טיוטה מעודכנת עם התייחסות תמר,1.22/עדכונים חני תעס 1.22/התיחסויות לקראת עדכון/,הכנסה,"הכנסה ברוטו כוללת מעבודה ושלא מעבודה של ראש המשפחה ובן/ת זוגו שביחידה המשפחתית. בהתאם לסעיפים 3,4."
טיוטה מעודכנת עם התייחסות תמר,1.22/עדכונים חני תעס 1.22/התיחסויות לקראת עדכון/,נקודת זיכוי,"ערך תחשיבי אבסולוטי שנקבע מעת לעת ע""י משרד האוצר, מתעדכן על ידי אגף בכיר רשויות מקומיות אחת לשנה (בחודש ינואר)."
טיוטה מעודכנת עם התייחסות תמר,1.22/עדכונים חני תעס 1.22/התיחסויות לקראת עדכון/,הכנסה ברוטו ממוצעת לנפש לחודש,"סיכום ההכנסה של 3 חודשים מתוך 6 החודשים אחרונים טרם קביעת הנזקקות ועריכת תכנית התערבות טיפולית, מחולק במספר הנפשות הנחשבות לפי סעיף 2.1 לעיל, ביחידה המשפחתית ומחולק ב- 3 חודשים."
טיוטה מעודכנת התייחסות אריאלה+תמר,1.22/עדכונים חני תעס 1.22/התיחסויות לקראת עדכון/,יחידה משפחתית,"משפחה הכוללת את ההורים ואת ילדיהם עד גיל 18, גם כאשר אלו מתחנכים במסגרת חוץ-ביתית, וכן את ילדיהם מעל גיל 18 המשרתים שירות חובה בצה""ל, ובנות המשרתות בשירות הלאומי (עפ""י אישור) או עד סיום כיתה י""ב."
טיוטה מעודכנת התייחסות אריאלה+תמר,1.22/עדכונים חני תעס 1.22/התיחסויות לקראת עדכון/,הערה,בגיר בודד הוא יחידה בפני עצמו.
טיוטה מעודכנת התייחסות אריאלה+תמר,1.22/עדכונים חני תעס 1.22/התיחסויות לקראת עדכון/,קטין,מי שטרם מלאו לו 18 שנה.
טיוטה מעודכנת התייחסות אריאלה+תמר,1.22/עדכונים חני תעס 1.22/התיחסויות לקראת עדכון/,בגיר,מי שמלאו לו 18 שנה.
טיוטה מעודכנת התייחסות אריאלה+תמר,1.22/עדכונים חני תעס 1.22/התיחסויות לקראת עדכון/,אזרח ותיק,"כהגדרתו בחוק גיל הפרישה תשנ""ד – 2004."
טיוטה מעודכנת התייחסות אריאלה+תמר,1.22/עדכונים חני תעס 1.22/התיחסויות לקראת עדכון/,ראש משפחה,"ראש משק בית כמוגדר בהוראה 1.19 ""נתוני יסוד אודות משפחה מטופלת""."
טיוטה מעודכנת התייחסות אריאלה+תמר,1.22/עדכונים חני תעס 1.22/התיחסויות לקראת עדכון/,הכנסה,"הכנסה ברוטו כוללת מעבודה ושלא מעבודה של ראש המשפחה ובן זוגו שביחידה המשפחתית. בהתאם לסעיפים 3,4."
טיוטה מעודכנת התייחסות אריאלה+תמר,1.22/עדכונים חני תעס 1.22/התיחסויות לקראת עדכון/,נקודת זיכוי,"ערך תחשיבי אבסולוטי שנקבע מעת לעת ע""י משרד האוצר, מתעדכן על ידי אגף בכיר רשויות מקומיות אחת לשנה (בחודש ינואר)."
טיוטה מעודכנת התייחסות אריאלה+תמר,1.22/עדכונים חני תעס 1.22/התיחסויות לקראת עדכון/,הכנסה ברוטו ממוצעת לנפש לחודש,"סיכום ההכנסה של 3 חודשים מתוך 6 החודשים האחרונים טרם קביעת הנזקקות ועריכת תכנית התערבות טיפולית, מחולק במספר הנפשות הנחשבות לפי סעיף 2.1 לעיל, ביחידה המשפחתית ומחולק ב- 3 חודשים."
1.22 151221,1.22/עדכונים חני תעס 1.22/התיחסויות לקראת עדכון/,יחידה משפחתית,"משפחה הכוללת את ההורים ואת ילדיהם עד גיל 18, גם כאשר אלו מתחנכים במסגרת חוץ-ביתית, וכן את ילדיהם מעל גיל 18 המשרתים שירות חובה בצה""ל, ובנות המשרתות בשירות הלאומי (עפ""י אישור) או עד סיום כיתה י""ד."
1.22 151221,1.22/עדכונים חני תעס 1.22/התיחסויות לקראת עדכון/,הערה,בגיר בודד הוא יחידה בפני עצמו.
1.22 151221,1.22/עדכונים חני תעס 1.22/התיחסויות לקראת עדכון/,קטין,מי שטרם מלאו לו 18 שנה.
1.22 151221,1.22/עדכונים חני תעס 1.22/התיחסויות לקראת עדכון/,בגיר,מי שמלאו לו 18 שנה.
1.22 151221,1.22/עדכונים חני תעס 1.22/התיחסויות לקראת עדכון/,אזרח ותיק,"כהגדרתו בחוק גיל הפרישה תשנ""ד – 2004."
1.22 151221,1.22/עדכונים חני תעס 1.22/התיחסויות לקראת עדכון/,ראש משפחה,"ראש משק בית כמוגדר בהוראה 1.19 ""נתוני יסוד אודות משפחה מטופלת""."
1.22 151221,1.22/עדכונים חני תעס 1.22/התיחסויות לקראת עדכון/,הכנסה,"הכנסה ברוטו כוללת מעבודה ושלא מעבודה של ראש המשפחה ובן זוגו שביחידה המשפחתית. בהתאם לסעיפים 3,4."
1.22 151221,1.22/עדכונים חני תעס 1.22/התיחסויות לקראת עדכון/,נקודת זיכוי,"ערך שנקבע מעת לעת ע""י רשות המיסים. אגף בכיר רשויות מקומיות מפרסם אחת לשנה בחודש ינואר את ערך נקודת הזיכוי."
1.22 151221,1.22/עדכונים חני תעס 1.22/התיחסויות לקראת עדכון/,הכנסה ברוטו ממוצעת לנפש לחודש,"סיכום ההכנסה של 3 חודשים מתוך 6 החודשים האחרונים טרם קביעת הנזקקות ועריכת תכנית התערבות טיפולית, מחולק במספר הנפשות הנחשבות לפי סעיף 2.1 לעיל, ביחידה המשפחתית ומחולק ב- 3 חודשים."
חישוב הכנסה ממוצעת אחידה 1.22 110122,1.22/עדכונים חני תעס 1.22/התיחסויות לקראת עדכון/,אזרח ותיק,"כהגדרתו בחוק גיל הפרישה תשנ""ד - 2004."
חישוב הכנסה ממוצעת אחידה 1.22 110122,1.22/עדכונים חני תעס 1.22/התיחסויות לקראת עדכון/,בגיר,מי שמלאו לו 18 שנה.
חישוב הכנסה ממוצעת אחידה 1.22 110122,1.22/עדכונים חני תעס 1.22/התיחסויות לקראת עדכון/,הכנסה,הכנסה ברוטו כוללת מעבודה ושלא מעבודה של ראש המשפחה ובן זוגו שביחידה המשפחתית בהתאם להנחיות בהוראה זו.
חישוב הכנסה ממוצעת אחידה 1.22 110122,1.22/עדכונים חני תעס 1.22/התיחסויות לקראת עדכון/,הכנסה ממוצעת לנפש,סכום ההכנסה של 3 חודשים רצופים מתוך 6 החודשים האחרונים מחולק במספר הנפשות הנחשבות ביחידה המשפחתית לפי הוראה זו ומחולק ב- 3 חודשים.
חישוב הכנסה ממוצעת אחידה 1.22 110122,1.22/עדכונים חני תעס 1.22/התיחסויות לקראת עדכון/,יחידה משפחתית,"משפחה הכוללת את ההורים ואת ילדיהם עד גיל 18, גם כאשר אלו מתחנכים במסגרת חוץ-ביתית, וכן את ילדיהם מעל גיל 18 המשרתים שירות חובה בצה""ל, ובנות המשרתות בשירות הלאומי (עפ""י אישור) או עד סיום כיתה י""ד. לצורך החישוב בגיר בודד הוא יחידה בפני עצמו."
חישוב הכנסה ממוצעת אחידה 1.22 110122,1.22/עדכונים חני תעס 1.22/התיחסויות לקראת עדכון/,"מחלקה לשירותים חברתיים (מש""ח)","המחלקות לשירותים חברתיים מהוות יחידות בתוך הרשויות המקומיות והן אחראיות על מתן השירותים החברתיים ללקוחות המתגוררים באותה רשות. המחלקות לשירותים חברתיים ברשויות המקומיות פועלות מכוחחוק שירותי הסעד התשי""ח-1958."
חישוב הכנסה ממוצעת אחידה 1.22 110122,1.22/עדכונים חני תעס 1.22/התיחסויות לקראת עדכון/,קטין,מי שטרם מלאו לו 18 שנה.
חישוב הכנסה ממוצעת אחידה 1.22 110122,1.22/עדכונים חני תעס 1.22/התיחסויות לקראת עדכון/,משרד,"משרד הרווחה והביטחון החברתי. אוכלוסיית יעד הכנסות חודשיות הנלקחות בחישוב הכנסה ממוצעת לנפש הכנסות המהוות משכורת של שכיר/עצמאי, או שהן חלק משכורת (גמלאות וקצבאות קיום וכן גמלאות וקצבאות מחליפות שכר)"
חישוב הכנסה ממוצעת אחידה 1.22 120122,1.22/עדכונים חני תעס 1.22/התיחסויות לקראת עדכון/,אזרח ותיק,"כהגדרתו בחוק גיל הפרישה תשנ""ד - 2004."
חישוב הכנסה ממוצעת אחידה 1.22 120122,1.22/עדכונים חני תעס 1.22/התיחסויות לקראת עדכון/,בגיר,מי שמלאו לו 18 שנה.
חישוב הכנסה ממוצעת אחידה 1.22 120122,1.22/עדכונים חני תעס 1.22/התיחסויות לקראת עדכון/,הכנסה,הכנסה ברוטו כוללת מעבודה ושלא מעבודה של ראש המשפחה ובן זוגו שביחידה המשפחתית בהתאם להנחיות בהוראה זו.
חישוב הכנסה ממוצעת אחידה 1.22 120122,1.22/עדכונים חני תעס 1.22/התיחסויות לקראת עדכון/,הכנסה ממוצעת לנפש,סכום ההכנסה של 3 חודשים רצופים מתוך 6 החודשים האחרונים מחולק במספר הנפשות הנחשבות ביחידה המשפחתית לפי הוראה זו ומחולק ב- 3 חודשים.
חישוב הכנסה ממוצעת אחידה 1.22 120122,1.22/עדכונים חני תעס 1.22/התיחסויות לקראת עדכון/,יחידה משפחתית,"משפחה הכוללת את ההורים ואת ילדיהם עד גיל 18, גם כאשר אלו מתחנכים במסגרת חוץ-ביתית, וכן את ילדיהם מעל גיל 18 המשרתים שירות חובה בצה""ל, ובנות המשרתות בשירות הלאומי (עפ""י אישור) או עד סיום כיתה י""ד. לצורך החישוב בגיר בודד הוא יחידה בפני עצמו."
חישוב הכנסה ממוצעת אחידה 1.22 120122,1.22/עדכונים חני תעס 1.22/התיחסויות לקראת עדכון/,"מחלקה לשירותים חברתיים (מש""ח)","המחלקות לשירותים חברתיים מהוות יחידות בתוך הרשויות המקומיות והן אחראיות על מתן השירותים החברתיים ללקוחות המתגוררים באותה רשות. המחלקות לשירותים חברתיים ברשויות המקומיות פועלות מכוחחוק שירותי הסעד התשי""ח-1958."
חישוב הכנסה ממוצעת אחידה 1.22 120122,1.22/עדכונים חני תעס 1.22/התיחסויות לקראת עדכון/,קטין,מי שטרם מלאו לו 18 שנה.
חישוב הכנסה ממוצעת אחידה 1.22 120122,1.22/עדכונים חני תעס 1.22/התיחסויות לקראת עדכון/,משרד,"משרד הרווחה והביטחון החברתי. אוכלוסיית יעד הכנסות חודשיות הנלקחות בחישוב הכנסה ממוצעת לנפש הכנסות המהוות משכורת של שכיר/עצמאי, או שהן חלק משכורת (גמלאות וקצבאות קיום וכן גמלאות וקצבאות מחליפות שכר)"
נוהלי הטיפול במשפחות יילודים עם נכויות התפתחותיות- משרד הרווחה- טיוטא בפורמט עריכה עם הערות משרד הבריאות 15-6-2014,14.21/,יילוד,עד גיל חודש
נוהלי הטיפול במשפחות יילודים עם נכויות התפתחותיות- משרד הרווחה- טיוטא בפורמט עריכה עם הערות משרד הבריאות 15-6-2014,14.21/,תינוק,מגיל חודש ועד 15 חודשים
נוהלי הטיפול במשפחות יילודים עם נכויות התפתחותיות- משרד הרווחה- טיוטא בפורמט עריכה עם הערות משרד הבריאות 15-6-2014,14.21/,פעוט,עד גיל 3
קהילה תומכת נכים,5.24/,אדם עם נכות,"תושב ישראל שהוא בעל מוגבלות פיזית (כולל מוגבלויות חושיות) או ליקוי נוירו-פסיכולוגי שהוא בעל לפחות 40 אחוזי נכות מן המוסד לביטוח לאומי. אוכלוסיית יעד אדם עם נכות עפ""י הגדרתו בסעיף 2 לעיל מגיל 18 עד זקנה. מטרת התכנית"
שירותי אבחון ושיקום 5.12,5.12/,נכות,"ליקוי שנגרם לאדם מלידה, תאונה או מחלה, שבגינו יש לאדם פגיעה קבועה, חסר או קושי הניתן לתיאור במונחים תיפקודיים."
שירותי אבחון ושיקום 5.12,5.12/,נכות גופנית,"קשיי תיפקוד במערכת הלוקומוטורית כתוצאה ממחלה נירולוגית או פנימית, מצבי קטיעה, פגיעת ראש, פגיעות עמוד שידרה וכו' כתוצאה מהליקוי יש פגיעה בתחומים כמו טיפול בצרכים אישיים, ניידות, ניהול בית ותעסוקה."
שירותי אבחון ושיקום 5.12,5.12/,נכות חושית,"ליקוי גופני במערכת הראיה או השמיעה, הגורם לעיוורון או לקות ראיה, חרשות או ליקוי בשמיעה, כתוצאה מהליקוי נפגע תפקודו של האדם בתחומים כגון: תקשורת, ניידות, ניהול חיי היום יום."
שירותי אבחון ושיקום 5.12,5.12/,נכות התפתחותית,"כל ליקוי בריאותי הגורם לפגיעה בלתי הפיכה שארעה לאדם מלידה ועד גיל 18 שנה, כתוצאה מהפגיעה עלולים להופיע קשיי תיפקוד בתחום המוטורי, החושי, החברתי, ריגשי או התנהגותי."
שירותי אבחון ושיקום 5.12,5.12/,נכות נפשית,"ליקוי בהליכים פסיכולוגים מרכזיים הגורם לקשיים בשליטה, לתנודות קיצוניות במצב הרוח, לקשיים בתפיסת העצמי, בשיפוט ובתפיסת המציאות ולהפרעות ביחסים בינאשיים."
שירותי אבחון ושיקום 5.12,5.12/,נכות התנהגותית,"ליקויים על בסיס אורגני (נירולוגי) הפוגעים ביכולת של האדם לשלוט בגופו ובהתנהגותו, לקיים רצף של קשב, ולנהל את חייו היומיומיים בתחום הלמידה, העבודה ומערכת היחסים הבינאישיים."
שירותי אבחון ושיקום 5.12,5.12/,מרכז שיקום,"מרכז המספק שירותי שיקום תעסוקתיים ופועל באמצעות צוות רב מקצועי ובינתחומי, העומד בתנאי המכרז לנושא זה שמפרסם משרד העבודה והרווחה מעת לעת, והמספק מגוון שרותי שיקום כולל שרותי איתור, איבחון, הכוון תעסוקתי, השלמת השכלה, הקניית מיומניות תעסוקתית, שרותים סוציאליים, הכשרה מקצועית, שרותי השמה, מעקב והערכה."
שירותי אבחון ושיקום 5.12,5.12/,צוות רב מקצועי,"לרבות פסיכולוגיים, מאבחנים, עובדים סוציאליים, מדריכים מקצועיים, מנהלי סדנאות, מורים, עובדי השמה ועובדי מינהל. כמו כן יועצים בתחומים נדרשים כגון פסיכיאטריה, רפואה תעסוקתית ופסיכולוגיה שיקומית."
סביבה תומכת מפגרים,14.28/,סביבה תומכת,"תוכנית המספקת מעטפת תמיכה הכוונה וסיוע לאנשים עם מש""ה בקהילה"
סביבה תומכת מפגרים,14.28/,"ועדת קבלה, הערכה ומעקב","ועדה שתפקידה למיין הפניות של מועמדים להשתתף בתוכנית, לקבוע דרכי טיפול ולעקוב אחר התקדמותם."
סביבה תומכת מפגרים,14.28/,ארגון מפעיל,"התוכנית מופעלת על ידי הרשות המקומית או על ידי ארגון שנבחר במכרז ע""י הרשות המקומית ואושרו ע""י וועדת המכרזים של משרד."
מרכזתמיכה,14.27/,"""אדם עם פיגור שכלי""","כל אדם שהוגדר ע""י ועדת אבחון של האגף לטיפול באדם המפגר עפ""י חוק הטיפול באדם המפגר תשכ""ט - 1969. אוכלוסיית היעד כל מי שהוגדר ע""י ועדת אבחון כלוקה בפיגור שכלי, עפ""י חוק הטיפול באדם המפגר תשכ""ט - 1969 . מטרת המרכז"
טיפול סיעודי אישי לנכים,5.25/,נכות גופנית,"קשיי תיפקוד בתחום המוטורי מלידה או כתוצאה ממחלות ניווניות, קטיעות, פגיעות בעמוד השידרה, פגיעות ראש וכו'."
טיפול סיעודי אישי לנכים,5.25/,נכות חמורה,"לפחות 100% נכות רפואית לצמיתות ( עפ""י אישור ועדה רפואית של המוסד לביטוח לאומי) וכן תלות בזולת בלפחות בשלושה מתפקודי יום-יום ראשוניים (אכילה, הלבשה, רחצה, ניידות ושליטה על סוגרים)."
טיפול סיעודי אישי לנכים,5.25/,טפול אישי,עזרה אישית סיעודית בתפקודי יום-יום ראשוניים.
רשת לאנשים עם משה 14 11 הכי,14.11/,"מרכז רצף שרותי תעסוקה (מ. רש""ת) (מע""ש לשעבר)","מסגרת המפעילה ומספקת את כל רצף תכניות התעסוקה, מספקת טיפול תומך ומבצעת הערכה תעסוקתית לאנשים עם מש""ה החיים בקהילה בגיל העבודה (21 ומעלה)"
רשת לאנשים עם משה 14 11 הכי,14.11/,רצף תעסוקתי,"מגוון של תכניות תעסוקה הנבדלות זו מזו אם בהיקף התמיכה ואם במידת העצמאות, ברמת השילוב בקהילה."
רשת לאנשים עם משה 14 11 הכי,14.11/,ארגון מפעיל,ארגון המפעיל שירותי תעסוקה בקהילה ועמד בתנאי המכרז של המשרד או של הרשות המקומית וקיבל את אישור המשרד.
רשת לאנשים עם משה 14 11 הכי,14.11/,מקבלי שרות (מועסקים),"אנשים עם מש""ה מעל גיל 21 העונים לקריטריונים של אוכלוסיית היעד בסעיף 3 להלן."
רשת לאנשים עם משה 14 11 הכי,14.11/,הערכה תעסוקתית,"הערכה של מידת ההתאמה של אדם עם מש""ה לתכנית תעסוקה ספציפית המתבצע במרכז רש""ת. הערכה זו מתייחסת להיבטים הבאים: מיומנויות ביצוע של משימות ומטלות במסגרת עבודתו."
רשת לאנשים עם משה 14 11 הכי,14.11/,טרום תעסוקה,"תכנית לשם בדיקת יכולות ורצונות להשתלבות האדם עם מש""ה על רצף התעסוקה או כתכנית קבועה למי שאינו יכול להתקדם על רצף התעסוקה לתכנית עם תמיכה מופחתת או לתעסוקה בשוק חופשי."
רשת לאנשים עם משה 14 11 הכי,14.11/,תעסוקת בית,"תכנית תעסוקתית מוגבלת בזמן המכוונת למקבלי שירות אשר אינם מבקרים במרכזי התעסוקה ונועדה לאפשר להם להשתלב במרכז רש""ת ולנוע על רצף התעסוקה."
רשת לאנשים עם משה 14 11 הכי,14.11/,תעסוקה מוגנת,"תכנית תעסוקה הכוללת עבודות קבלניות פשוטות, הפעלת קווי ייצור ואספקת שירותים."
רשת לאנשים עם משה 14 11 הכי,14.11/,הכשרה לתעסוקה,תכנית מכשירה ומאפשרת התנסות תעסוקתית לתקופה מוגבלת במטרה להכשירם לעבודה בשוק החופשי.
רשת לאנשים עם משה 14 11 הכי,14.11/,קווי ייצור ויחידות עסקיות,"תכנית הפועלת להעתקת קו ייצור ממפעל לתוך מרכז התעסוקה ו/או פיתוח של תחום תעסוקה מלא בתוך מרכז רש""ת."
רשת לאנשים עם משה 14 11 הכי,14.11/,תעסוקה נתמכת בשוק חופשי,"תכנית הכוללת 6 שלבים, ומתבצעת במקומות עבודה בשוק החופשי."
רשת לאנשים עם משה 14 11 הכי,14.11/,תעסוקה בשוק החופשי,"שילוב של אנשים עם מש""ה לצד עובדים רגילים במקום עבודה בשוק החופשי."
רשת לאנשים עם משה 14 11 הכי,14.11/,"גב""ע","גמול עבור ביצוע עבודה והוא אינו שכר לצורך קביעת יחסי עובד מעביד. אוכלוסיית יעד אנשים עם מוגבלות שכלית התפתחותית (מש""ה), אשר אובחנו והוכרו על ידי ועדת אבחון על פי חוק הסעד (הטיפול במפגרים) תשכ""ט 1969, ועונים לשני התנאים הבאים:"
23.1.17,14.8/,ילד,אדם עד גיל 21
23.1.17,14.8/,בגיר,"אדם מעל גיל 21 אוכלוסיית היעד אדם שועדת אבחון לפ""י חוק הסעד (טיפול באנשים עם מוגבלות שכלית התפתחותית תשכ""ט - 1969 (מש""ה) קבעה שהוא אדם עם מוגבלות שכלית התפתחותית"
מסגרות יומיות לילדים עיוורים 6.20,6.20/,מסגרת יומית,הינה מסגרת המספקת שירותים חינוכיים ושיקומיים בשעות היום (8:00-16:00) לילדים החיים בקרב משפחתם בקהילה.
מסגרות יומיות לילדים עיוורים 6.20,6.20/,ארגון ציבורי,עמותה ציבורית רשומה כחוק. אוכלוסיית היעד ילדים עם עיוורון/ לקויי ראיה עם או בלי נכות נוספת עד גיל 6. מטרות
